Time,Type,Volume,Symbol,Price,Time.1,Price.1,Commission,Swap,Profit
2024-08-19 16:15:12,Buy,0.04,EURJPY,161.685,2024-08-20 18:51:08,161.703,-0.28,0.22,0.49
2024-08-19 06:07:49,Sell,0.02,EURJPY,162.354,2024-08-19 20:52:38,162.334,-0.14,0.0,0.27
2024-08-19 02:20:01,Buy,0.03,EURJPY,163.104,2024-08-19 06:07:56,162.303,-0.22,0.0,-16.33
2024-08-15 23:30:38,Buy,0.03,EURJPY,163.732,2024-08-16 14:06:22,162.935,-0.22,0.16,-16.13
2024-08-14 15:30:51,Buy,0.03,EURJPY,162.337,2024-08-16 13:00:03,163.394,-0.22,0.65,21.33
2024-08-13 22:44:21,Buy,0.02,EURJPY,161.399,2024-08-15 20:00:00,163.624,-0.14,0.44,29.86
2024-08-14 05:16:05,Sell,0.01,EURJPY,160.941,2024-08-15 05:00:00,162.385,-0.08,-0.45,-9.79
2024-08-14 05:15:37,Sell,0.01,EURJPY,160.991,2024-08-14 16:06:09,162.561,-0.08,0.0,-10.65
2024-08-13 16:13:56,Sell,0.01,EURJPY,160.862,2024-08-14 16:00:01,162.302,-0.08,-0.15,-9.77
2024-08-13 16:14:04,Sell,0.01,EURJPY,160.777,2024-08-14 16:00:01,162.302,-0.08,-0.15,-10.35
2024-08-12 00:01:01,Buy,0.01,EURJPY,160.36,2024-08-13 22:00:01,161.328,-0.08,0.05,6.6
2024-08-08 20:19:27,Buy,0.01,EURJPY,160.729,2024-08-12 18:00:02,161.625,-0.08,0.11,6.06
2024-08-02 14:22:51,Buy,0.02,EURJPY,161.355,2024-08-02 15:33:06,160.202,-0.14,0.0,-15.63
2024-08-01 14:14:22,Buy,0.02,EURJPY,162.304,2024-08-01 23:55:06,161.099,-0.14,0.0,-16.14
2024-07-31 09:59:56,Sell,0.01,EURJPY,164.801,2024-08-01 04:20:44,161.329,-0.08,-0.44,23.3
2024-07-31 20:44:48,Buy,0.02,EURJPY,163.063,2024-08-01 03:00:35,161.98,-0.14,0.32,-14.47
2024-07-30 18:04:18,Sell,0.01,EURJPY,166.298,2024-07-31 10:54:39,163.108,-0.08,-0.14,21.17
2024-07-30 04:06:36,Sell,0.01,EURJPY,166.44,2024-07-31 04:00:00,164.875,-0.08,-0.14,10.27
2024-07-29 20:57:14,Buy,0.02,EURJPY,166.742,2024-07-30 19:36:20,165.689,-0.14,0.1,-13.74
2024-07-30 04:22:52,Buy,0.02,EURJPY,166.816,2024-07-30 19:32:30,165.767,-0.14,0.0,-13.68
2024-07-26 17:18:56,Sell,0.02,EURJPY,166.704,2024-07-29 16:00:01,166.454,-0.14,-0.29,3.25
2024-07-25 15:16:58,Buy,0.03,EURJPY,165.707,2024-07-29 13:00:02,166.574,-0.22,0.32,16.92
2024-07-26 10:35:06,Buy,0.03,EURJPY,167.289,2024-07-29 09:33:32,166.307,-0.22,0.16,-19.23
2024-07-29 03:05:32,Buy,0.03,EURJPY,167.493,2024-07-29 05:18:27,166.507,-0.22,0.0,-19.31
2024-07-23 06:51:24,Sell,0.02,EURJPY,170.188,2024-07-24 04:10:45,168.681,-0.14,-0.28,19.38
2024-07-22 08:24:15,Sell,0.03,EURJPY,171.039,2024-07-23 08:00:02,170.235,-0.22,-0.42,15.43
2024-07-18 18:01:07,Buy,0.03,EURJPY,171.164,2024-07-22 09:41:02,170.251,-0.22,0.3,-17.51
2024-07-19 14:59:53,Buy,0.04,EURJPY,171.539,2024-07-22 09:01:45,170.84,-0.28,0.21,-17.81
2024-07-16 04:01:40,Buy,0.04,EURJPY,172.559,2024-07-17 10:12:21,171.783,-0.28,0.2,-19.7
2024-07-17 04:10:18,Buy,0.04,EURJPY,172.809,2024-07-17 09:00:56,172.031,-0.28,0.0,-19.72
2024-07-15 19:41:44,Sell,0.02,EURJPY,171.905,2024-07-16 19:30:04,172.586,-0.14,-0.28,-8.59
2024-07-15 19:41:42,Sell,0.02,EURJPY,172.062,2024-07-16 18:00:00,172.533,-0.14,-0.28,-5.94
2024-07-15 13:02:42,Buy,0.04,EURJPY,172.441,2024-07-15 19:42:04,171.616,-0.28,0.0,-20.99
2024-07-12 17:12:30,Sell,0.02,EURJPY,171.799,2024-07-15 17:00:01,172.398,-0.14,-0.28,-7.59
2024-07-12 16:08:18,Sell,0.03,EURJPY,172.31,2024-07-15 16:00:01,172.305,-0.22,-0.42,0.09
2024-07-12 12:05:20,Buy,0.05,EURJPY,173.28,2024-07-12 15:29:55,172.615,-0.36,0.0,-20.97
2024-07-12 01:04:37,Buy,0.09,EURJPY,172.975,2024-07-12 02:28:11,172.416,-0.64,0.0,-31.71
2024-07-10 16:46:13,Buy,0.08,EURJPY,174.9,2024-07-11 15:42:16,174.431,-0.56,1.2,-23.43
2024-07-05 18:32:54,Sell,0.05,EURJPY,173.961,2024-07-09 20:00:00,174.39,-0.36,-1.36,-13.3
2024-07-05 06:10:01,Sell,0.03,EURJPY,173.965,2024-07-09 20:00:00,174.39,-0.22,-0.82,-7.9
2024-07-05 06:20:36,Sell,0.03,EURJPY,173.828,2024-07-08 11:47:41,174.59,-0.22,-0.41,-14.2
2024-07-05 16:54:53,Buy,0.05,EURJPY,174.467,2024-07-05 18:20:06,174.036,-0.36,0.0,-13.4
