Time,Type,Volume,Symbol,Price,Time.1,Price.1,Commission,Swap,Profit
2024-08-20 05:56:02,Buy,0.01,GBPJPY,190.73,2024-08-21 00:27:16,189.053,-0.08,0.11,-11.55
2024-08-19 09:06:46,Sell,0.01,GBPJPY,188.337,2024-08-19 17:10:06,190.014,-0.08,0.0,-11.45
2024-08-14 09:00:01,Buy,0.01,GBPJPY,189.248,2024-08-16 04:00:03,191.842,-0.08,0.44,17.39
2024-08-15 04:53:51,Buy,0.02,GBPJPY,189.26,2024-08-16 03:30:03,191.673,-0.14,0.22,32.38
2024-08-14 15:30:57,Buy,0.01,GBPJPY,189.405,2024-08-15 14:30:00,189.426,-0.08,0.33,0.14
2024-08-13 09:15:09,Buy,0.01,GBPJPY,189.044,2024-08-15 04:00:00,188.848,-0.08,0.44,-1.33
2024-08-13 09:16:32,Buy,0.01,GBPJPY,189.118,2024-08-14 08:00:01,188.851,-0.08,0.11,-1.82
2024-08-12 09:29:12,Buy,0.01,GBPJPY,188.131,2024-08-14 04:00:01,189.218,-0.08,0.22,7.39
2024-08-08 17:38:58,Buy,0.01,GBPJPY,187.543,2024-08-12 12:00:02,188.073,-0.08,0.22,3.6
2024-08-08 16:14:24,Buy,0.01,GBPJPY,186.707,2024-08-09 19:00:01,186.988,-0.08,0.11,1.92
2024-08-07 04:34:39,Buy,0.01,GBPJPY,184.697,2024-08-08 02:40:08,184.715,-0.08,0.33,0.12
2024-08-02 15:30:03,Buy,0.01,GBPJPY,190.125,2024-08-05 01:01:28,187.158,-0.08,0.11,-20.29
2024-08-01 20:15:10,Sell,0.01,GBPJPY,190.902,2024-08-02 20:30:02,187.807,-0.08,-0.24,21.08
2024-07-30 19:32:30,Sell,0.01,GBPJPY,196.788,2024-07-31 16:00:00,193.148,-0.08,-0.23,24.21
2024-07-30 19:31:31,Sell,0.01,GBPJPY,196.806,2024-07-31 05:12:02,196.807,-0.08,-0.23,-0.01
